Region1,Region2,Region1_NonAged,Region2_NonAged,Region1_Aged,Region2_Aged,Total_Mortality,policy,supply_rate,epsilon,R1_Masks,R2_Masks
0.073165,0.116028,0.024048,0.038139,0.122281,0.193917,0.094597,Fair,0.2,0.4,144000,16000
0.071837,0.117841,0.023612,0.038735,0.120063,0.196948,0.094839,Fair,0.2,0.43,148800,11200
0.070966,0.119056,0.023326,0.039134,0.118606,0.198977,0.095011,Fair,0.2,0.45,152000,8000
0.069679,0.120884,0.022903,0.039735,0.116456,0.202032,0.095282,Fair,0.2,0.48,156800,3200
0.068835,0.122107,0.022625,0.040138,0.115045,0.204077,0.095471,Fair,0.2,0.5,160000,0
0.085134,0.087709,0.027983,0.028829,0.142285,0.146588,0.086421,Fair,0.25,0.02,104000,96000
0.083240,0.089676,0.027360,0.029476,0.139120,0.149876,0.086458,Fair,0.25,0.05,110000,90000
0.081380,0.091673,0.026749,0.030133,0.136011,0.153214,0.086527,Fair,0.25,0.08,116000,84000
0.080159,0.093021,0.026347,0.030576,0.133970,0.155466,0.086590,Fair,0.25,0.1,120000,80000
0.078953,0.094381,0.025951,0.031023,0.131954,0.157738,0.086667,Fair,0.25,0.12,124000,76000
0.077174,0.096443,0.025366,0.031701,0.128981,0.161185,0.086808,Fair,0.25,0.15,130000,70000
0.075431,0.098531,0.024793,0.032387,0.126069,0.164675,0.086981,Fair,0.25,0.18,136000,64000
0.074290,0.099937,0.024418,0.032849,0.124161,0.167025,0.087113,Fair,0.25,0.2,140000,60000
0.073165,0.101354,0.024048,0.033315,0.122281,0.169392,0.087259,Fair,0.25,0.22,144000,56000
0.071509,0.103498,0.023504,0.034020,0.119514,0.172976,0.087504,Fair,0.25,0.25,150000,50000
0.069892,0.105664,0.022973,0.034732,0.116811,0.176596,0.087778,Fair,0.25,0.28,156000,44000
0.068835,0.107120,0.022625,0.035211,0.115045,0.179029,0.087978,Fair,0.25,0.3,160000,40000
0.067796,0.108584,0.022284,0.035692,0.113308,0.181477,0.088190,Fair,0.25,0.32,164000,36000
0.066269,0.110797,0.021782,0.036420,0.110757,0.185175,0.088533,Fair,0.25,0.35,170000,30000
0.064782,0.113028,0.021293,0.037153,0.108271,0.188903,0.088905,Fair,0.25,0.38,176000,24000
0.063812,0.114524,0.020974,0.037645,0.106651,0.191404,0.089168,Fair,0.25,0.4,180000,20000
0.062391,0.116783,0.020507,0.038387,0.104275,0.195178,0.089587,Fair,0.25,0.43,186000,14000
0.061465,0.118296,0.020203,0.038885,0.102727,0.197708,0.089881,Fair,0.25,0.45,190000,10000
0.060109,0.120579,0.019757,0.039635,0.100460,0.201522,0.090344,Fair,0.25,0.48,196000,4000
0.059226,0.122107,0.019467,0.040138,0.098985,0.204077,0.090667,Fair,0.25,0.5,200000,0
0.078714,0.081626,0.025872,0.026830,0.131555,0.136422,0.080170,Fair,0.3,0.02,124800,115200
0.076589,0.083868,0.025174,0.027567,0.128004,0.140169,0.080228,Fair,0.3,0.05,132000,108000
0.074517,0.086157,0.024493,0.028319,0.124540,0.143995,0.080337,Fair,0.3,0.08,139200,100800
0.073165,0.087709,0.024048,0.028829,0.122281,0.146588,0.080437,Fair,0.3,0.1,144000,96000
0.071837,0.089280,0.023612,0.029346,0.120063,0.149214,0.080559,Fair,0.3,0.12,148800,91200
0.069892,0.091673,0.022973,0.030133,0.116811,0.153214,0.080783,Fair,0.3,0.15,156000,84000
0.068002,0.094108,0.022351,0.030933,0.113653,0.157282,0.081055,Fair,0.3,0.18,163200,76800
0.066774,0.095753,0.021948,0.031474,0.111600,0.160031,0.081263,Fair,0.3,0.2,168000,72000
0.065571,0.097414,0.021552,0.032020,0.109589,0.162809,0.081492,Fair,0.3,0.22,172799,67200
0.063812,0.099937,0.020974,0.032849,0.106651,0.167025,0.081875,Fair,0.3,0.25,180000,60000
0.062111,0.102495,0.020415,0.033690,0.103807,0.171299,0.082303,Fair,0.3,0.28,187200,52800
0.061008,0.104218,0.020053,0.034257,0.101964,0.174179,0.082613,Fair,0.3,0.3,192000,48000
0.059931,0.105954,0.019698,0.034828,0.100163,0.177081,0.082943,Fair,0.3,0.32,196800,43200
0.058361,0.108584,0.019182,0.035692,0.097539,0.181477,0.083472,Fair,0.3,0.35,204000,36000
0.056846,0.111242,0.018684,0.036566,0.095008,0.185918,0.084044,Fair,0.3,0.38,211200,28800
0.055867,0.113028,0.018363,0.037153,0.093371,0.188903,0.084447,Fair,0.3,0.4,216000,24000
0.054443,0.115727,0.017894,0.038040,0.090991,0.193414,0.085085,Fair,0.3,0.43,223200,16800
0.053523,0.117539,0.017592,0.038636,0.089453,0.196442,0.085531,Fair,0.3,0.45,228000,12000
0.052186,0.120273,0.017153,0.039535,0.087220,0.201012,0.086230,Fair,0.3,0.48,235200,4800
0.051324,0.122107,0.016870,0.040138,0.085779,0.204077,0.086716,Fair,0.3,0.5,240000,0
0.072720,0.075892,0.023902,0.024945,0.121537,0.126839,0.074306,Fair,0.35,0.02,145600,134400
0.070427,0.078356,0.023148,0.025755,0.117705,0.130957,0.074391,Fair,0.35,0.05,154000,126000
0.068210,0.080889,0.022420,0.026588,0.114000,0.135191,0.074550,Fair,0.35,0.08,162400,117600
0.066774,0.082616,0.021948,0.027155,0.111600,0.138077,0.074695,Fair,0.35,0.1,168000,112000
0.065372,0.084372,0.021487,0.027733,0.109258,0.141012,0.074872,Fair,0.35,0.12,173600,106400
0.063334,0.087060,0.020817,0.028616,0.105851,0.145503,0.075197,Fair,0.35,0.15,182000,98000
0.061373,0.089808,0.020172,0.029520,0.102574,0.150097,0.075591,Fair,0.35,0.18,190400,89600
0.060109,0.091673,0.019757,0.030133,0.100460,0.153214,0.075891,Fair,0.35,0.2,196000,84000
0.058878,0.093563,0.019352,0.030754,0.098404,0.156372,0.076221,Fair,0.35,0.22,201599,78400
0.057095,0.096443,0.018766,0.031701,0.095423,0.161185,0.076769,Fair,0.35,0.25,210000,70000
0.055386,0.099373,0.018205,0.032664,0.092567,0.166083,0.077380,Fair,0.35,0.28,218400,61600
0.054288,0.101354,0.017844,0.033315,0.090732,0.169392,0.077821,Fair,0.35,0.3,224000,56000
0.053221,0.103354,0.017493,0.033973,0.088950,0.172736,0.078288,Fair,0.35,0.32,229600,50400
0.051681,0.106391,0.016987,0.034971,0.086375,0.177811,0.079036,Fair,0.35,0.35,238000,42000
0.050209,0.109467,0.016503,0.035982,0.083915,0.182952,0.079838,Fair,0.35,0.38,246400,33600
0.049265,0.111539,0.016193,0.036663,0.082337,0.186414,0.080402,Fair,0.35,0.4,252000,28000
0.047903,0.114674,0.015745,0.037694,0.080061,0.191655,0.081289,Fair,0.35,0.43,260400,19600
0.047030,0.116783,0.015458,0.038387,0.078602,0.195178,0.081906,Fair,0.35,0.45,266000,14000
0.045772,0.119969,0.015045,0.039435,0.076499,0.200503,0.082870,Fair,0.35,0.48,274400,5600
0.044966,0.122107,0.014780,0.040138,0.075152,0.204077,0.083537,Fair,0.35,0.5,280000,0
0.067181,0.070534,0.022081,0.023184,0.112280,0.117885,0.068857,Fair,0.4,0.02,166400,153600
0.064782,0.073165,0.021293,0.024048,0.108271,0.122281,0.068974,Fair,0.4,0.05,176000,144000
0.062484,0.075892,0.020538,0.024945,0.104431,0.126839,0.069188,Fair,0.4,0.08,185600,134400
0.061008,0.077763,0.020053,0.025560,0.101964,0.129966,0.069386,Fair,0.4,0.1,192000,128000
0.059577,0.079674,0.019582,0.026188,0.099572,0.133160,0.069626,Fair,0.4,0.12,198400,121600
0.057512,0.082616,0.018903,0.027155,0.096121,0.138077,0.070064,Fair,0.4,0.15,208000,112000
0.055546,0.085644,0.018257,0.028151,0.092834,0.143138,0.070595,Fair,0.4,0.18,217600,102400
0.054288,0.087709,0.017844,0.028829,0.090732,0.146588,0.070998,Fair,0.4,0.2,224000,96000
0.053072,0.089808,0.017444,0.029520,0.088699,0.150097,0.071440,Fair,0.4,0.22,230400,89600
0.051324,0.093021,0.016870,0.030576,0.085779,0.155466,0.072172,Fair,0.4,0.25,240000,80000
0.049666,0.096305,0.016325,0.031655,0.083007,0.160954,0.072985,Fair,0.4,0.28,249600,70400
0.048608,0.098531,0.015977,0.032387,0.081240,0.164675,0.073570,Fair,0.4,0.3,256000,64000
0.047588,0.100786,0.015642,0.033129,0.079535,0.168443,0.074187,Fair,0.4,0.32,262400,57600
0.046125,0.104218,0.015161,0.034257,0.077090,0.174179,0.075171,Fair,0.4,0.35,272000,48000
0.044740,0.107705,0.014706,0.035403,0.074775,0.180006,0.076222,Fair,0.4,0.38,281600,38400
0.043858,0.110057,0.014416,0.036176,0.073301,0.183938,0.076958,Fair,0.4,0.4,288000,32000
0.042595,0.113626,0.014001,0.037349,0.071189,0.189902,0.078110,Fair,0.4,0.43,297599,22399
0.041790,0.116028,0.013736,0.038139,0.069844,0.193917,0.078909,Fair,0.4,0.45,304000,16000
0.040638,0.119664,0.013357,0.039334,0.067918,0.199994,0.080151,Fair,0.4,0.48,313600,6400
0.039904,0.122107,0.013116,0.040138,0.066692,0.204077,0.081006,Fair,0.4,0.5,320000,0
0.062111,0.065570,0.020415,0.021552,0.103807,0.109589,0.063841,Fair,0.45,0.02,187200,172800
0.059665,0.068313,0.019611,0.022454,0.099719,0.114173,0.063989,Fair,0.45,0.05,198000,162000
0.057345,0.071183,0.018848,0.023397,0.095841,0.118969,0.064264,Fair,0.45,0.08,208800,151200
0.055867,0.073165,0.018363,0.024048,0.093371,0.122281,0.064516,Fair,0.45,0.1,216000,144000
0.054443,0.075201,0.017894,0.024718,0.090991,0.125685,0.064822,Fair,0.45,0.12,223200,136800
0.052406,0.078356,0.017225,0.025755,0.087586,0.130957,0.065381,Fair,0.45,0.15,234000,126000
0.050484,0.081626,0.016593,0.026830,0.084375,0.136422,0.066055,Fair,0.45,0.18,244800,115200
0.049265,0.083868,0.016193,0.027567,0.082337,0.140169,0.066566,Fair,0.45,0.2,252000,108000
0.048094,0.086157,0.015808,0.028319,0.080380,0.143995,0.067125,Fair,0.45,0.22,259200,100800
0.046424,0.089676,0.015259,0.029476,0.077588,0.149876,0.068050,Fair,0.45,0.25,270000,90000
0.044853,0.093292,0.014743,0.030665,0.074963,0.155919,0.069072,Fair,0.45,0.28,280800,79200
0.043858,0.095753,0.014416,0.031474,0.073301,0.160031,0.069805,Fair,0.45,0.3,288000,72000
0.042904,0.098251,0.014102,0.032295,0.071706,0.164207,0.070578,Fair,0.45,0.32,295200,64800
0.041545,0.102066,0.013655,0.033549,0.069434,0.170583,0.071805,Fair,0.45,0.35,306000,54000
0.040268,0.105954,0.013236,0.034828,0.067300,0.177081,0.073111,Fair,0.45,0.38,316800,43200
0.039459,0.108584,0.012970,0.035692,0.065948,0.181477,0.074022,Fair,0.45,0.4,324000,36000
0.038307,0.112580,0.012591,0.037006,0.064023,0.188155,0.075444,Fair,0.45,0.43,334800,25200
0.037578,0.115275,0.012352,0.037892,0.062804,0.192659,0.076427,Fair,0.45,0.45,342000,18000
0.036539,0.119360,0.012010,0.039234,0.061067,0.199485,0.077949,Fair,0.45,0.48,352800,7200
0.035880,0.122107,0.011794,0.040138,0.059966,0.204077,0.078994,Fair,0.45,0.5,360000,0
0.057512,0.061008,0.018903,0.020053,0.096121,0.101964,0.059260,Fair,0.5,0.02,208000,192000
0.055069,0.063812,0.018100,0.020974,0.092037,0.106651,0.059441,Fair,0.5,0.05,220000,180000
0.052774,0.066774,0.017346,0.021948,0.088202,0.111600,0.059774,Fair,0.5,0.08,232000,168000
0.051324,0.068835,0.016870,0.022625,0.085779,0.115045,0.060080,Fair,0.5,0.1,240000,160000
0.049936,0.070966,0.016413,0.023326,0.083459,0.118606,0.060451,Fair,0.5,0.12,248000,152000
0.047966,0.074290,0.015766,0.024418,0.080167,0.124161,0.061128,Fair,0.5,0.15,260000,140000
0.046125,0.077763,0.015161,0.025560,0.077090,0.129966,0.061944,Fair,0.5,0.18,272000,128000
0.044966,0.080159,0.014780,0.026347,0.075152,0.133970,0.062562,Fair,0.5,0.2,280000,120000
0.043858,0.082616,0.014416,0.027155,0.073301,0.138077,0.063237,Fair,0.5,0.22,288000,112000
0.042290,0.086414,0.013900,0.028404,0.070679,0.144424,0.064352,Fair,0.5,0.25,300000,100000
0.040826,0.090339,0.013419,0.029694,0.068232,0.150983,0.065582,Fair,0.5,0.28,312000,88000
0.039904,0.093021,0.013116,0.030576,0.066692,0.155466,0.066463,Fair,0.5,0.3,320000,80000
0.039024,0.095753,0.012827,0.031474,0.065222,0.160031,0.067388,Fair,0.5,0.32,328000,72000
0.037778,0.099937,0.012417,0.032849,0.063138,0.167025,0.068857,Fair,0.5,0.35,340000,60000
0.036613,0.104218,0.012035,0.034257,0.061192,0.174179,0.070415,Fair,0.5,0.38,352000,48000
0.035880,0.107120,0.011794,0.035211,0.059966,0.179029,0.071500,Fair,0.5,0.4,360000,40000
0.034839,0.111539,0.011452,0.036663,0.058227,0.186414,0.073189,Fair,0.5,0.43,372000,28000
0.034183,0.114524,0.011236,0.037645,0.057130,0.191404,0.074354,Fair,0.5,0.45,380000,20000
0.033251,0.119056,0.010930,0.039134,0.055573,0.198977,0.076153,Fair,0.5,0.48,392000,8000
0.032663,0.122107,0.010736,0.040138,0.054590,0.204077,0.077385,Fair,0.5,0.5,400000,0
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Proportion,0.0,,0,0
0.114524,0.114524,0.037645,0.037645,0.191404,0.191404,0.114524,Proportion,0.05,,20000,20000
0.107120,0.107120,0.035211,0.035211,0.179029,0.179029,0.107120,Proportion,0.1,,40000,40000
0.099937,0.099937,0.032849,0.032849,0.167025,0.167025,0.099937,Proportion,0.15,,60000,60000
0.093021,0.093021,0.030576,0.030576,0.155466,0.155466,0.093021,Proportion,0.2,,80000,80000
0.086414,0.086414,0.028404,0.028404,0.144424,0.144424,0.086414,Proportion,0.25,,100000,100000
